N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
326,1047,101 RM/A,EMATOLOGICO MILANESE S.R.L.,00989181003,EMATOLOGICO MILANESE S.R.L.,U00344/12,DECRETO DI ACCREDITAMENTO,Via XX Settembre 40,ROMA,00187,41.9066695,12.49748
577,1222,101 RM/A,FERRETTI 10 S.R.L.,05807441000,FERRETTI 10,"U00320/12
U00090/14",DECRETO DI ACCREDITAMENTO,VIA JACOPO FERRETTI 10/12,ROMA,00137,41.9480653,12.5482655
255,83,101 RM/A,FISIOCENTRO S.R.L.,01360441008,FISIOCENTRO SRL,U00342/12,DECRETO DI ACCREDITAMENTO,"Viale Trastevere, 6",ROMA,00153,41.88842,12.47352
379,739,101 RM/A,FISIOKINESITERAPIA21 S.R.L.,05739591005,FISIOKINESITERAPIA21 S.R.L. - MEDICINA FISICA E RIABILITAZIONE (POLIAMBULATORIO SOLO AUT.),"U00337/12
U00284/14",DECRETO DI ACCREDITAMENTO,VIA BODONI  7/9,ROMA,00153,41.8801362,12.4773839
720,374,101 RM/A,FLAMINIO 9 S.R.L.,01321031005,STRUTTURA AMBULATORIALE FLAMINIO9 SRL,"U00296/12
U00083/14",DECRETO DI ACCREDITAMENTO,PIAZZALE FLAMINIO 9,ROMA,00196,41.9118106,12.4749778
190,1038,101 RM/A,"FONDAZIONE DI RELIGIONE E DI CULTO ""CASA SOLLIEVO DELLA SOFFERENZA"" OPERA DI SAN PIO DA PIETRELCINA   -  ISTITUTO C.S.S. MENDEL",00138660717,ISTITUTO C.S.S. MENDEL,"U00496/13
U00049/14",DECRETO DI ACCREDITAMENTO,VIALE REGINA MARGHERITA 261,ROMA,00198,41.9113516,12.5087718
350,965,101 RM/A,GEMINI MEDICAL,01220971004,ANALISI CLINICHE GEMINI MEDICAL - POLIAMBULATORIO SPECIALISTICO - DIAGNOSTICA,U00065/13,DECRETO DI ACCREDITAMENTO,via Pacchiarotti 95,ROMA,00139,41.9620972,12.5135465
511,885,101 RM/A,GESTIONE SANITÀ ROMANA SRL,05704581007,POLIAMBULATORIO SPECIALISTICO - LABORATORIO ANALISI,U00463/12,DECRETO DI ACCREDITAMENTO,"Via di Santa Costanza, 21",ROMA,00198,41.9224667,12.5149093
936,1098,101 RM/A,GILAR SRL,01404031005,GILAR SRL,U00118/13,DECRETO DI ACCREDITAMENTO,VIA AUGUSTO GENINA 30,ROMA,00139,41.961194,12.5364784
472,924,101 RM/A,GIULIO CIAFFI SRL,01313331009,ANALISI CLINICHE GIULIO CIAFFI SRL,U00188/12,DECRETO DI ACCREDITAMENTO,VIALE LIBIA 74/A,ROMA,00199,41.93022,12.51772
614,463,101 RM/A,GNOSIS COOPERATIVA SOCIALE ONLUS,03919071005,INFORMARE,U00041/13,DECRETO DI ACCREDITAMENTO,"Via Valdinievole, 8",ROMA,00141,41.9339617,12.5284244
596,144,101 RM/A,I.K.O.R. SRL,01587761006,STRUTTURA AMBULATORIALE I.K.O.R. SRL,"U00331/12
U00219/13",DECRETO DI ACCREDITAMENTO,"Viale Libia, 5",ROMA,00199,41.9290323,12.5166414
92,446,101 RM/A,I.M.P.P.I.T - IST. MED.PSIC.PED. INFANZIA TARDIVA SRL,05497891001,IMPPIT - CENTRO RIABILITAZIONE EX ART. 26,U00250/13,DECRETO DI ACCREDITAMENTO,via  delle Isole 29,ROMA,00198,41.91847,12.50877
38,1766,101 RM/A,IL KINESITERAPICO SRL,00985491000,IL KINESITERAPICO S.R.L.,"U00227/12
U00260/14",DECRETO DI ACCREDITAMENTO,VIA PANAMA83,ROMA,00198,41.92336,12.50132
826,368,101 RM/A,IMMUNOLAB SRL,01146421001,IMMUNOLAB SRL,U00280/12,DECRETO DI ACCREDITAMENTO,piazza Addis Abeba 1,ROMA,00199,41.9315179,12.523017
371,646,101 RM/A,ISTITUTO DI ORTOFONOLOGIA SRL,01869671006,IDO SALARIA,"U00111/13
U00453/13",DECRETO DI ACCREDITAMENTO,via Salaria 30,ROMA,00198,41.911866,12.4979411
